brain.1	fetal.brain.1	bg1	bg2
1426_at	434.40168052171	3632.41248039806	0	0
1427_g_at	111.227526845846	1142.31408588419	0	0
1428_at	25.6755264707947	32.6846010114377	0	0
1429_at	149.323611738702	155.57443610005	0	0
143_s_at	169.298433173901	260.055887590011	0	0
1430_at	3220.99525604786	1325.04501352604	0	0
1431_at	118.993763720545	250.162953980771	0	0
1432_s_at	622.353475589182	279.499612989837	0	0
1433_g_at	330.37405234229	42.1815337764778	0	0
1434_at	86.0173191731144	204.563569992735	0	0
1435_f_at	15.1582886920468	20.7168570942923	0	0
1436_at	46.1553992046845	123.710189995045	0	0
1437_at	252.402312869598	264.245735002781	0	0
1438_at	72.2865373628802	93.4884818618807	0	0
1439_s_at	167.775981322221	141.113799145453	0	0
144_at	66.5295182592805	77.4061368578266	0	0
1440_s_at	97.7053012823132	15.6503049985429	0	0
1441_s_at	3.48396157237021	3.69373338310121	0	0
1442_at	240.904856833281	404.086044295077	0	0
1443_at	45.4252108450144	34.6852883158567	0	0
1444_at	513.395740849398	279.945556477282	0	0
1445_at	164.417644573454	179.648467484539	0	0
1446_at	425.068983511039	845.27915125784	0	0
1447_at	2259.73177635223	1496.54987946855	0	0
1448_at	567.61276275018	725.2657402619	0	0
1449_at	297.85930228715	593.519563340454	0	0
145_s_at	229.558576390139	198.097947376032	0	0
1450_g_at	439.212984360928	713.278257253473	0	0
1451_s_at	95.182986913657	117.011493763173	0	0
1452_at	2357.61418390352	4246.79671912928	0	0
1453_at	428.751943196131	527.955697556603	0	0
1454_at	91.205405907283	241.217497300835	0	0
1455_f_at	342.175830403711	206.219488885447	0	0
1456_s_at	163.214292842511	162.928859313868	0	0
1457_at	155.818393611904	223.776871251089	0	0
1458_at	407.994747385654	249.68637978611	0	0
1459_at	438.954423281529	319.972095059289	0	0
146_at	752.839339862253	269.91896554836	0	0
1460_g_at	749.887426583363	463.187584152247	0	0
1461_at	1379.65059135324	870.216345879753	0	0
1462_s_at	60.1979287084224	37.961697851111	0	0
1463_at	342.477536843244	950.053635344367	0	0
1464_at	275.936093256323	241.760906290217	0	0
1465_s_at	16.7036072131943	18.0176843017544	0	0
1466_s_at	32.5461934092693	17.8382948422055	0	0
1467_at	164.554803490403	550.336379626081	0	0
1468_at	2408.035378594	708.214251137415	0	0
1469_at	1615.96323266904	1505.51719433421	0	0
147_at	688.148851005301	828.427862969465	0	0
1470_at	500.671983093782	175.903648325941	0	0
1471_at	23.1667235167215	28.4579552207507	0	0
1472_g_at	25.9425127555978	20.4194201218787	0	0
1473_s_at	31.2072321180089	14.5202510954483	0	0
1474_s_at	24.8430877178313	61.997142597405	0	0
1475_s_at	153.681540088949	101.391809495881	0	0
1476_s_at	78.013223838391	191.096071741557	0	0
1477_s_at	172.15048566172	75.3389383619982	0	0
1478_at	71.5299664568919	122.307117962218	0	0
1479_g_at	11.2165499246611	16.5245445936031	0	0
148_at	335.633832889929	280.838513448122	0	0
1480_at	172.721950405412	348.411455179312	0	0
1481_at	122.357815798124	22.9134878194506	0	0
1482_g_at	78.2510960182317	49.3511117822579	0	0
1483_at	723.70841348387	971.429845672045	0	0
1484_at	235.375965504327	250.309586218599	0	0
1485_at	25.2314606817079	80.191971911214	0	0
